id,estimulo,tiempo
-Lw0L5D8GRExGDVkFaUS,Inteligencia artificial,1576275405491
-LwWBsBk8B6pYgaIbIMr,Conocimiento,1576809735579
-LwWKBnHtIyt_-w_Yphx,Inteligencia artificial,1576812074606
-Lxi-8WscHCMSexYbcFz,Conocimiento,1578098242195
-M0-0z2zotlRiIwfkQce,Ciencia de datos,1581621996495
-M0-4Gp_gyHCRCZSjpjJ,Conocimiento,1581622866597
-M0-5LZpujeV-7Nz4J6F,Ciencia de datos,1581622408810
-M0-9OQkabuGoSmceB5E,Big data,1581624272636
-M0-Bdhrtm0iTLACWVIl,Conocimiento,1581624741616
-M0-CQEYqqhepgr6iuJ6,Conocimiento,1581624741616
-M0-J5YFaOQ0dxWw9QvA,Conocimiento,1581626820846
-M0-OCP1j4wbTY-lgZAx,Conocimiento,1581628261465
-M038VoU7ICfruBo38-V,Inteligencia artificial,1581691016298
-M03tH2YwW4heuIKu8ps,Inteligencia artificial,1581703161056
-M0DAr48IImoMsTiKhaK,Ciencia de datos,1581859380136
-M0DUBR8E6m_LBy26ERI,Ciencia de datos,1581864459266
-M0KG86wUxbjKn2YZhdp,Ciencia de datos,1581978078673
-M0U6kFwRY7AWj0WNCUa,Conocimiento,1582143607096
-M0U7_pJAU9Ehga0LIWq,Big data,1582143962860
-M0UC5hYZYjtuyKMHBJM,Conocimiento,1582144914256
-M2M9R-DBBKvCzlYoWR0,Big data,1584157555119
-M2MhH9dvNq3RzShEV1-,Big data,1584166823062
-M2OlvD1JZjfdTGZsbHw,Big data,1584201546531
-M2OunC4N1HIrIdCXw7z,Big data,1584203823410
-M2Py7OYFbW9okIShiK4,Inteligencia artificial,1584221295684
-M2QSE5spCFoOnV5s1Ud,Ciencia de datos,1584229583216
-M2R8KZd0JHGquTVkVba,Inteligencia artificial,1584240948593
-M2Tcm3-ieoFiRKN9awP,Inteligencia artificial,1584283065378
-M2U9XO1xbr_iVeyygQL,Inteligencia artificial,1584280115605
-M2UARgl6K9crUNkHihJ,Inteligencia artificial,1584292026498
-M2UCNA1khHcJAK1HfCd,Inteligencia artificial,1584292652718
-M2UNscfItR-VKSKId1m,Big data,1584295611657
-M2UbPdJbmdGlyJ2Ev-E,Conocimiento,1584299343887
-M2V1BzPUKVf3m0EIIQ-,Ciencia de datos,1584306338723
-M2V1e-eFzxowPwwxlek,Ciencia de datos,1584306384453
-M2V_ZNG-iA1FZfjiA8Q,Inteligencia artificial,1584315680890
-M2VaVKUSk1b23LNRn5x,Inteligencia artificial,1584315847141
-M2VrWvN8OElpLuYICxi,Ciencia de datos,1584320532047
-M2VuN29-er5iPCMSLpQ,Ciencia de datos,1584320934449
-M2W1neOZeEpldXzRyb6,Conocimiento,1584323460353
-M2WVsZ-_IUoEbxBpR26,Big data,1584331289436
-M2YQQ8zw9SQr7ReyQse,Ciencia de datos,1584363315338
-M2YdUBFrDxYvSG9E7X-,Big data,1584367045707
-M2ZPe7ZxQqZ5wlKKwv_,Conocimiento,1584379962662
-M2_4r52vwcW_JKMMCW9,Inteligencia artificial,1584391360609
-M2_BF9FhKtKerIS-m_v,Conocimiento,1584392973972
-M2_JmA6B9Hbw9zeKgX9,Conocimiento,1584395155585
-M2_T-DMepuBXF4aDdvC,Big data,1584397374551
-M2_iO9x2A-WaBMJIQvN,Inteligencia artificial,1584401922935
-M2aO3obHm9zyRHATdIX,Conocimiento,1584413180093
-M2ad18zqr2KjGUCMABe,Ciencia de datos,1584417179695
-M2bD0ysQm2fF6YIXdol,Inteligencia artificial,1584426961296
-M2bdaw3Z0gr278RXpoB,Inteligencia artificial,1584434152041
-M2cmwW-dpAVsdv06UqZ,Tecnologías 4.0,1584453510076
-M2cwJY5t44seDGPjsIO,Inteligencia artificial,1584455874544
-M2d82bYnFG_lGiw8vbh,Inteligencia artificial,1584459268840
-M2dJa_ek2qv-rRMQuW9,Inteligencia artificial,1584462165854
-M2dZI2HKOkR_fDMwA4X,Inteligencia artificial,1584466334625
-M2de2c3Hyqv3ubuhvIU,Ciencia de datos,1584467612073
-M2e6O_WHZM0MXYY-thH,Big data,1584475609274
-M2fELkpj6exAMlFMdKd,Big data,1584494380614
-M2fa93EaxIziPTIDVZq,Inteligencia artificial,1584500461679
-M2fccaJlJ2_P0vc866_,Ciencia de datos,1584501169781
-M2fpOVv1Q7R8KPgXPKb,Big data,1584504390979
-M2g4wSHzU9TUw55916b,Ciencia de datos,1584508807662
-M2hqEpur6zagMpnQfmf,Big data,1584538159447
