id,orden,palabra,valoracion
-Lw0L5D8GRExGDVkFaUS,1,avance,10
-Lw0L5D8GRExGDVkFaUS,2,automatizacion,10
-Lw0L5D8GRExGDVkFaUS,3,crecimiento,10
-Lw0L5D8GRExGDVkFaUS,4,productividad,10
-Lw0L5D8GRExGDVkFaUS,5,economia,10
-LwWBsBk8B6pYgaIbIMr,1,Pregunta ,10
-LwWBsBk8B6pYgaIbIMr,2,Incertidumbre,9
-LwWBsBk8B6pYgaIbIMr,3,Inacabado,9
-LwWBsBk8B6pYgaIbIMr,4,Con otres ,10
-LwWBsBk8B6pYgaIbIMr,5,Construccion ,10
-LwWKBnHtIyt_-w_Yphx,1,Aprendizaje,7
-LwWKBnHtIyt_-w_Yphx,2,Terminator,3
-LwWKBnHtIyt_-w_Yphx,3,Skynet,4
-LwWKBnHtIyt_-w_Yphx,4,Clasificacion,5
-LwWKBnHtIyt_-w_Yphx,5,Robot,6
-Lxi-8WscHCMSexYbcFz,1,Pensamiento,10
-Lxi-8WscHCMSexYbcFz,2,Desarrollo,10
-Lxi-8WscHCMSexYbcFz,3,Innovación ,10
-Lxi-8WscHCMSexYbcFz,4,Libertad,10
-Lxi-8WscHCMSexYbcFz,5,Amplitud,10
-M0-0z2zotlRiIwfkQce,1,investigacion,8
-M0-0z2zotlRiIwfkQce,2,analiticas,5
-M0-0z2zotlRiIwfkQce,3,IA,10
-M0-0z2zotlRiIwfkQce,4,informacion,10
-M0-0z2zotlRiIwfkQce,5,getcontext,10
-M0-4Gp_gyHCRCZSjpjJ,1,Ciencia,8
-M0-4Gp_gyHCRCZSjpjJ,2,Tecnologia,10
-M0-4Gp_gyHCRCZSjpjJ,3,Aprendizaje,7
-M0-4Gp_gyHCRCZSjpjJ,4,Trabajo,10
-M0-4Gp_gyHCRCZSjpjJ,5,Relaciones personales,7
-M0-5LZpujeV-7Nz4J6F,1,Información ,10
-M0-5LZpujeV-7Nz4J6F,2,Publicidad,0
-M0-5LZpujeV-7Nz4J6F,3,Robo de datos,0
-M0-5LZpujeV-7Nz4J6F,4,Stalkeo,0
-M0-5LZpujeV-7Nz4J6F,5,Multinacionales,0
-M0-9OQkabuGoSmceB5E,1,Información,10
-M0-9OQkabuGoSmceB5E,2,Análisis,10
-M0-9OQkabuGoSmceB5E,3,Investigación,10
-M0-9OQkabuGoSmceB5E,4,Comercial,9
-M0-9OQkabuGoSmceB5E,5,Filtración,0
-M0-Bdhrtm0iTLACWVIl,1,Delfos,9
-M0-Bdhrtm0iTLACWVIl,2,Disfrute,10
-M0-Bdhrtm0iTLACWVIl,3,Vinculos,10
-M0-Bdhrtm0iTLACWVIl,4,Poder,10
-M0-Bdhrtm0iTLACWVIl,5,Ignorancia,1
-M0-CQEYqqhepgr6iuJ6,1,Delfos,9
-M0-CQEYqqhepgr6iuJ6,2,Disfrute,10
-M0-CQEYqqhepgr6iuJ6,3,Vinculos,10
-M0-CQEYqqhepgr6iuJ6,4,Poder,10
-M0-CQEYqqhepgr6iuJ6,5,Ignorancia,1
-M0-J5YFaOQ0dxWw9QvA,1,Ventaja,10
-M0-J5YFaOQ0dxWw9QvA,2,Necesario,9
-M0-J5YFaOQ0dxWw9QvA,3,Ignorancia,3
-M0-J5YFaOQ0dxWw9QvA,4,Mente,5
-M0-J5YFaOQ0dxWw9QvA,5,Esfuerzo,7
-M0-OCP1j4wbTY-lgZAx,1,verdad,10
-M0-OCP1j4wbTY-lgZAx,2,poder,5
-M0-OCP1j4wbTY-lgZAx,3,ciencia,7
-M0-OCP1j4wbTY-lgZAx,4,estudio,9
-M0-OCP1j4wbTY-lgZAx,5,realidad,5
-M038VoU7ICfruBo38-V,1,Innovación,10
-M038VoU7ICfruBo38-V,2,Desempleo,2
-M038VoU7ICfruBo38-V,3,Acotada,5
-M038VoU7ICfruBo38-V,4,Peligro,3
-M038VoU7ICfruBo38-V,5,Inevitable,5
-M03tH2YwW4heuIKu8ps,1,Comodidad ,5
-M03tH2YwW4heuIKu8ps,2,Confort ,5
-M03tH2YwW4heuIKu8ps,3,Computadora ,5
-M03tH2YwW4heuIKu8ps,4,Facilita,8
-M03tH2YwW4heuIKu8ps,5,Dificulta,2
-M0DAr48IImoMsTiKhaK,1,Informatica,5
-M0DAr48IImoMsTiKhaK,2,Número ,6
-M0DAr48IImoMsTiKhaK,3,Estudio ,10
